将灯名,武将名,武将原帅点,将灯原帅点,武将新帅点,将灯新帅点,系统需补
雷,诸葛瞻,120,20,100,80,0
雷,周妃,120,20,100,80,0
雷,陆抗,100,20,100,80,0
雷,郝昭,120,20,100,80,0
雷,毌丘俭,100,20,100,80,0
雷,袁术,100,20,100,80,0
雷,张绣,100,20,100,80,0
风,黄忠,120,20,100,120,0
风,魏延,120,20,100,120,0
风,夏侯渊,80,20,100,120,0
风,曹仁,120,20,100,120,0
风,小乔,120,20,100,120,0
风,周泰,120,20,100,120,0
风,张角,120,20,100,120,0
风,于吉,100,20,100,120,0
食禄尽忠,沙摩柯,120,250,150,430,0
食禄尽忠,忙牙长,120,250,150,430,0
食禄尽忠,许贡,120,250,150,430,0
食禄尽忠,张昌蒲,500,250,150,430,0
食禄尽忠,崔烈,120,250,200,430,0
香,黄月英,100,10,100,10,0
香,大乔,100,10,100,10,0
香,孙尚香,100,10,100,10,0
香,甄姬,100,10,100,10,0
香,貂蝉,100,10,100,10,0
骁,甘宁,80,15,100,-65,8
骁,黄盖,100,15,100,-65,10
骁,夏侯惇,80,15,100,-65,8
骁,张辽,100,15,100,-65,10
骁,许褚,80,15,100,-65,8
骁,吕布,100,15,100,-65,10
骁,华雄,80,15,100,-65,8
高山仰止,王朗,500,9600,800,9000,0
高山仰止,刘徽,500,9600,800,9000,0
黄巾之乱,韩遂,120,150,150,410,0
黄巾之乱,刘宏,120,150,150,410,0
黄巾之乱,朱儁,120,150,100,410,0
黄巾之乱,许劭,500,150,200,410,0
================================================================================
系统需补充总帅点: 2816
