将灯名,武将名,武将原来帅点,将灯原来的帅点,武将新的帅点,将灯新的帅点,系统需要补充的帅点
谋定天下,谋贾诩,500,2200,500,2200,-220.0
谋定天下,谋郭嘉,500,2200,500,2200,-220.0
谋定天下,谋陆逊,500,2200,500,2200,-220.0
谋定天下,谋鲁肃,500,2200,500,2200,-220.0
豆蔻梢头,侯昭宁,500,2300,200,2600,-415.62
豆蔻梢头,崔令仪,500,2300,200,2600,-415.62
豆蔻梢头,徐妏,500,2300,200,2600,-415.62
豆蔻梢头,曹媛,500,2300,200,2600,-415.62
豆蔻梢头,柏灵筠,500,2300,500,2300,-415.62
豆蔻梢头,段巧笑,500,2300,200,2600,-415.62
豆蔻梢头,灵雎,500,2300,150,2650,-415.62
豆蔻梢头,田尚衣,500,2300,200,2600,-415.62
豆蔻梢头,芮姬,500,2300,500,2300,-415.62
豆蔻梢头,花鬘,500,2300,200,2600,-415.62
豆蔻梢头,莫琼树,500,2300,200,2600,-415.62
豆蔻梢头,薛灵芸,500,2300,200,2600,-415.62
豆蔻梢头,诸葛果,500,2300,150,2650,-415.62
豆蔻梢头,辛宪英,500,2300,150,2650,-415.62
豆蔻梢头,陆文漪,500,2300,200,2600,-415.62
豆蔻梢头,马伶俐,500,2300,200,2600,-415.62
逐鹿,卑弥呼,120,20,200,-60,37.5
逐鹿,卫温诸葛直,120,20,150,-10,37.5
逐鹿,吕凯,120,20,150,-10,37.5
逐鹿,张恭,120,20,150,-10,37.5
钟灵毓秀,任婉,500,2500,500,2500,-268.89
钟灵毓秀,关樾,500,2500,500,2500,-268.89
钟灵毓秀,刘衿刘佩,500,2500,500,2500,-268.89
钟灵毓秀,周不疑,120,2500,200,2420,-268.89
钟灵毓秀,张瑾云,500,2500,500,2500,-268.89
钟灵毓秀,滕芳兰,500,2500,500,2500,-268.89
钟灵毓秀,董贵人,500,2500,500,2500,-268.89
钟灵毓秀,许靖,500,2500,500,2500,-268.89
钟灵毓秀,诸葛京,500,2500,500,2500,-268.89
锦瑟良缘,冯妤,500,2900,500,2900,-297.65
锦瑟良缘,刘懿君,500,2900,200,3200,-297.65
锦瑟良缘,孙翊,500,2900,500,2900,-297.65
锦瑟良缘,崔芷,500,2900,200,3200,-297.65
锦瑟良缘,张奋,500,2900,500,2900,-297.65
锦瑟良缘,张怀,500,2900,200,3200,-297.65
锦瑟良缘,文鸳,500,2900,200,3200,-297.65
锦瑟良缘,曹华,500,2900,500,2900,-297.65
锦瑟良缘,曹宪,120,2900,200,2820,-297.65
锦瑟良缘,曹金玉,500,2900,500,2900,-297.65
锦瑟良缘,李昭仪,500,2900,200,3200,-297.65
锦瑟良缘,来莺儿,500,2900,200,3200,-297.65
锦瑟良缘,柳婒,500,2900,500,2900,-297.65
锦瑟良缘,董絮,500,2900,200,3200,-297.65
锦瑟良缘,诸葛梦雪,120,2900,200,2820,-297.65
锦瑟良缘,诸葛若雪,120,2900,200,2820,-297.65
锦瑟良缘,邓晚棠,500,2900,200,3200,-297.65
阴,严颜,80,20,100,0,-5.0
阴,卢植,80,20,100,0,-5.0
阴,孙亮,100,20,100,20,-5.0
阴,王基,120,20,100,40,-5.0
阴,王平,100,20,100,20,-5.0
阴,蒯良蒯越,100,20,100,20,-5.0
阴,许攸,120,20,100,40,-5.0
阴,陆绩,120,20,100,40,-5.0
隐山之玉,卢弈,500,1900,500,1900,-316.67
隐山之玉,周夷,500,1900,500,1900,-316.67
隐山之玉,孙翎鸾,500,1900,500,1900,-316.67
隐山之玉,庞凤衣,500,1900,500,1900,-316.67
隐山之玉,曹轶,500,1900,500,1900,-316.67
隐山之玉,郭缇萦,500,1900,500,1900,-316.67
雷,周妃,120,20,100,40,-10.0
雷,张绣,100,20,100,20,-10.0
雷,毌丘俭,100,20,100,20,-10.0
雷,袁术,100,20,100,20,-10.0
雷,诸葛瞻,120,20,100,40,-10.0
雷,郝昭,120,20,100,40,-10.0
雷,陆抗,100,20,100,20,-10.0
雷,陈到,100,20,100,20,-10.0
风,于吉,100,20,100,20,-15.0
风,周泰,120,20,100,40,-15.0
风,夏侯渊,80,20,100,0,-15.0
风,小乔,120,20,100,40,-15.0
风,张角,120,20,100,40,-15.0
风,曹仁,120,20,100,40,-15.0
风,魏延,120,20,100,40,-15.0
风,黄忠,120,20,100,40,-15.0
食禄尽忠,崔烈,120,250,200,170,-86.0
食禄尽忠,张昌蒲,500,250,150,600,-86.0
食禄尽忠,忙牙长,120,250,150,220,-86.0
食禄尽忠,沙摩柯,120,250,150,220,-86.0
食禄尽忠,许贡,120,250,150,220,-86.0
香,大乔,100,10,100,10,-2.0
香,孙尚香,100,10,100,10,-2.0
香,甄姬,100,10,100,10,-2.0
香,貂蝉,100,10,100,10,-2.0
香,黄月英,100,10,100,10,-2.0
骁,华雄,80,15,100,-5,9.29
骁,吕布,100,15,100,15,9.29
骁,夏侯惇,80,15,100,-5,9.29
骁,张辽,100,15,100,15,9.29
骁,甘宁,80,15,100,-5,9.29
骁,许褚,80,15,100,-5,9.29
骁,黄盖,100,15,100,15,9.29
高山仰止,刘徽,500,9600,800,9300,-4500.0
高山仰止,王朗,500,9600,800,9300,-4500.0
黄巾之乱,刘宏,120,150,150,120,-102.5
黄巾之乱,朱儁,120,150,100,170,-102.5
黄巾之乱,许劭,500,150,200,450,-102.5
黄巾之乱,韩遂,120,150,150,120,-102.5
